index,Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety,Drug use disorders (%),Depression (%),Alcohol use disorders (%)
332,Australia,AUS,2014,0.364577,1.146475,0.941661,6.602041,2.114377,4.731142,1.508926
333,Australia,AUS,2015,0.364163,1.14513,0.943206,6.595691,2.170634,4.696774,1.510434
334,Australia,AUS,2016,0.363743,1.143669,0.943991,6.589757,2.237198,4.659817,1.511465
335,Australia,AUS,2017,0.363326,1.142097,0.943081,6.584301,2.315142,4.623881,1.511935
448,Bangladesh,BGD,1990,0.251236,0.576794,0.101292,4.162614,0.499019,4.165485,1.332978
449,Bangladesh,BGD,1991,0.251403,0.57712,0.101737,4.150548,0.49863,4.146524,1.334773
450,Bangladesh,BGD,1992,0.251529,0.577452,0.102574,4.141381,0.499557,4.134198,1.336626
451,Bangladesh,BGD,1993,0.251621,0.577767,0.102937,4.134914,0.499091,4.127867,1.338421
452,Bangladesh,BGD,1994,0.251678,0.578052,0.103487,4.13147,0.50023,4.122439,1.339898
453,Bangladesh,BGD,1995,0.251701,0.578281,0.103899,4.131183,0.500102,4.119832,1.340903
454,Bangladesh,BGD,1996,0.25161,0.578506,0.104622,4.136714,0.499997,4.13094,1.341946
455,Bangladesh,BGD,1997,0.251375,0.578762,0.105182,4.148366,0.499564,4.15542,1.343451
456,Bangladesh,BGD,1998,0.251093,0.579042,0.105631,4.162798,0.499031,4.189542,1.345195
457,Bangladesh,BGD,1999,0.250857,0.57933,0.10689,4.176704,0.498329,4.218875,1.346943
458,Bangladesh,BGD,2000,0.250755,0.579609,0.107277,4.186855,0.497816,4.231796,1.348469
459,Bangladesh,BGD,2001,0.250773,0.579917,0.108645,4.196492,0.497556,4.232661,1.350384
460,Bangladesh,BGD,2002,0.250823,0.580277,0.109235,4.209578,0.496888,4.232035,1.353297
461,Bangladesh,BGD,2003,0.250891,0.580659,0.110469,4.223771,0.496208,4.233213,1.357056
462,Bangladesh,BGD,2004,0.250949,0.581005,0.111646,4.236549,0.495909,4.230392,1.361401
463,Bangladesh,BGD,2005,0.250976,0.581273,0.112733,4.245562,0.495886,4.229019,1.366085
464,Bangladesh,BGD,2006,0.250975,0.581461,0.113887,4.249112,0.496906,4.227853,1.374879
465,Bangladesh,BGD,2007,0.250968,0.5816,0.115688,4.248704,0.497624,4.226988,1.389282
466,Bangladesh,BGD,2008,0.250971,0.58173,0.117474,4.246932,0.498143,4.224998,1.405777
467,Bangladesh,BGD,2009,0.250977,0.581835,0.119331,4.246028,0.49914,4.223743,1.420734
468,Bangladesh,BGD,2010,0.251016,0.581981,0.121651,4.248882,0.500254,4.22464,1.430745
469,Bangladesh,BGD,2011,0.251094,0.582141,0.123681,4.254232,0.500641,4.221367,1.437029
470,Bangladesh,BGD,2012,0.251231,0.582322,0.125937,4.259427,0.502253,4.213672,1.443101
471,Bangladesh,BGD,2013,0.251418,0.582514,0.128099,4.264447,0.504135,4.199103,1.448701
472,Bangladesh,BGD,2014,0.251651,0.58272,0.130462,4.269459,0.50545,4.182413,1.453608
473,Bangladesh,BGD,2015,0.251929,0.582942,0.132744,4.2744,0.508198,4.160873,1.457626
474,Bangladesh,BGD,2016,0.252249,0.583181,0.135429,4.279268,0.510254,4.136923,1.460576
475,Bangladesh,BGD,2017,0.2526,0.583419,0.137974,4.283989,0.5128,4.110611,1.462198
2660,India,IND,1990,0.261587,0.551971,0.105016,3.323845,0.486651,3.758695,1.372084
2661,India,IND,1991,0.26166,0.552088,0.105393,3.32182,0.481062,3.804294,1.387638
2662,India,IND,1992,0.26172,0.552194,0.105952,3.31953,0.477685,3.844711,1.403009
2663,India,IND,1993,0.261766,0.552289,0.106649,3.317123,0.475732,3.877968,1.41687
2664,India,IND,1994,0.261796,0.552373,0.107376,3.314811,0.474916,3.903063,1.42781
2665,India,IND,1995,0.261811,0.552445,0.108227,3.312676,0.474806,3.917893,1.434582
2666,India,IND,1996,0.261817,0.552532,0.109236,3.308029,0.478044,3.92294,1.445345
2667,India,IND,1997,0.261822,0.552646,0.110587,3.299918,0.48498,3.922614,1.464851
2668,India,IND,1998,0.261826,0.552765,0.112075,3.291036,0.493819,3.920098,1.486882
2669,India,IND,1999,0.261833,0.552869,0.113705,3.284052,0.500949,3.918082,1.505249
2670,India,IND,2000,0.261842,0.552938,0.115263,3.281728,0.503811,3.920528,1.513665
2671,India,IND,2001,0.261885,0.553012,0.116833,3.284843,0.503517,3.932223,1.512145
2672,India,IND,2002,0.261983,0.553141,0.118564,3.291147,0.503091,3.95214,1.506253
2673,India,IND,2003,0.262116,0.5533,0.120365,3.298745,0.502613,3.972797,1.497945
2674,India,IND,2004,0.262264,0.553467,0.122223,3.305828,0.502077,3.98767,1.489245
2675,India,IND,2005,0.262404,0.553622,0.124111,3.310625,0.501926,3.990432,1.482164
2676,India,IND,2006,0.262612,0.5538,0.126231,3.309677,0.501409,3.939382,1.451934
2677,India,IND,2007,0.262923,0.554041,0.128591,3.303176,0.500222,3.826047,1.386798
2678,India,IND,2008,0.263258,0.554323,0.131158,3.294631,0.499075,3.691869,1.308256
2679,India,IND,2009,0.263537,0.554619,0.133841,3.287489,0.499124,3.577715,1.237784
2680,India,IND,2010,0.263676,0.554888,0.13647,3.285098,0.500607,3.5259,1.196834
2681,India,IND,2011,0.263563,0.555144,0.139099,3.286323,0.503234,3.520174,1.178418
2682,India,IND,2012,0.263156,0.555425,0.141892,3.287912,0.506062,3.51598,1.161647
2683,India,IND,2013,0.262489,0.555729,0.144873,3.289877,0.509329,3.5134,1.147224
2684,India,IND,2014,0.261596,0.55605,0.147937,3.292164,0.513028,3.513171,1.135894
2685,India,IND,2015,0.260509,0.55639,0.15115,3.294846,0.517256,3.515554,1.128306
2686,India,IND,2016,0.259256,0.556744,0.154442,3.298067,0.522072,3.520805,1.125008
2687,India,IND,2017,0.257864,0.557112,0.157758,3.301939,0.527411,3.529853,1.126607
2828,Italy,ITA,1990,0.234853,0.946082,0.585684,5.727693,1.246685,3.782417,0.458408
2829,Italy,ITA,1991,0.235163,0.947097,0.589164,5.691312,1.250387,3.715023,0.454951
2830,Italy,ITA,1992,0.235424,0.947955,0.593023,5.652334,1.256173,3.651698,0.451861
2831,Italy,ITA,1993,0.235643,0.948684,0.597437,5.612122,1.263868,3.596572,0.449365
2832,Italy,ITA,1994,0.235817,0.949266,0.600828,5.571874,1.272733,3.555711,0.447662
2833,Italy,ITA,1995,0.235932,0.949639,0.604477,5.532503,1.281482,3.530343,0.44694
2834,Italy,ITA,1996,0.236019,0.949909,0.606729,5.483194,1.300296,3.514964,0.447098
2835,Italy,ITA,1997,0.236113,0.95022,0.610907,5.421497,1.32832,3.498997,0.447723
2836,Italy,ITA,1998,0.236204,0.95054,0.615103,5.36062,1.361317,3.481261,0.448558
2837,Italy,ITA,1999,0.236285,0.950823,0.61984,5.313643,1.390202,3.466312,0.44936
2838,Italy,ITA,2000,0.236359,0.951086,0.623592,5.29395,1.405732,3.458641,0.4499
2839,Italy,ITA,2001,0.236413,0.950568,0.627055,5.298266,1.4183,3.449578,0.450155
2840,Italy,ITA,2002,0.236456,0.949007,0.630848,5.312072,1.43842,3.435921,0.450356
2841,Italy,ITA,2003,0.23649,0.947052,0.634059,5.331038,1.459467,3.418576,0.45059
2842,Italy,ITA,2004,0.236512,0.945348,0.63641,5.350876,1.474672,3.403169,0.450926
2843,Italy,ITA,2005,0.236527,0.944578,0.638136,5.367484,1.476299,3.392412,0.451417
2844,Italy,ITA,2006,0.236593,0.944693,0.635836,5.403574,1.461935,3.393027,0.453432
2845,Italy,ITA,2007,0.236735,0.945095,0.631239,5.470304,1.437316,3.409353,0.457413
2846,Italy,ITA,2008,0.236887,0.945596,0.625617,5.54545,1.407807,3.430772,0.461949
2847,Italy,ITA,2009,0.237003,0.946046,0.621071,5.606887,1.378248,3.447503,0.465679
2848,Italy,ITA,2010,0.237026,0.946269,0.620174,5.632361,1.354996,3.455801,0.46722
2849,Italy,ITA,2011,0.236973,0.946343,0.620217,5.632372,1.335062,3.455118,0.467204
2850,Italy,ITA,2012,0.236901,0.946453,0.620807,5.632487,1.310311,3.455367,0.467127
2851,Italy,ITA,2013,0.236809,0.946552,0.621421,5.632414,1.282892,3.454904,0.466905
2852,Italy,ITA,2014,0.236688,0.946582,0.622273,5.631731,1.252637,3.456543,0.46645
2853,Italy,ITA,2015,0.236545,0.946536,0.623938,5.630367,1.219242,3.458618,0.465702
2854,Italy,ITA,2016,0.236385,0.946428,0.624953,5.628456,1.184988,3.459977,0.464585
2855,Italy,ITA,2017,0.236197,0.946257,0.626784,5.626121,1.148015,3.464256,0.462937
2884,Japan,JPN,1990,0.29095,0.685276,0.408546,3.558083,0.85209,3.062597,0.552453
2885,Japan,JPN,1991,0.290813,0.68565,0.415382,3.559611,0.851126,3.064306,0.554292
2886,Japan,JPN,1992,0.290716,0.686008,0.421778,3.561092,0.850265,3.064719,0.556163
2887,Japan,JPN,1993,0.29067,0.686362,0.427656,3.562594,0.849706,3.064858,0.557967
2888,Japan,JPN,1994,0.290673,0.686684,0.432612,3.563984,0.849723,3.063447,0.559626
2889,Japan,JPN,1995,0.290728,0.686962,0.436819,3.565138,0.849875,3.06158,0.561059
2890,Japan,JPN,1996,0.290864,0.687278,0.440586,3.559246,0.849994,3.051899,0.562704
2891,Japan,JPN,1997,0.291061,0.687638,0.444397,3.54352,0.849656,3.032029,0.564779
2892,Japan,JPN,1998,0.291295,0.68805,0.448044,3.524715,0.849451,3.01007,0.566897
2893,Japan,JPN,1999,0.291513,0.688451,0.450948,3.509241,0.849455,2.993176,0.568627
2894,Japan,JPN,2000,0.291653,0.688761,0.452609,3.503311,0.849776,2.988969,0.569526
2895,Japan,JPN,2001,0.291533,0.688687,0.453158,3.503098,0.849981,2.999525,0.568818
2896,Japan,JPN,2002,0.29114,0.68815,0.453118,3.501109,0.849903,3.016933,0.566648
2897,Japan,JPN,2003,0.290677,0.687444,0.453022,3.498492,0.849842,3.03731,0.563963
2898,Japan,JPN,2004,0.290338,0.686851,0.452762,3.496301,0.850243,3.056779,0.561681
2899,Japan,JPN,2005,0.290315,0.686644,0.452926,3.495453,0.850921,3.071846,0.560731
2900,Japan,JPN,2006,0.291754,0.686818,0.453833,3.501247,0.854005,3.082956,0.561138
2901,Japan,JPN,2007,0.294921,0.687128,0.455299,3.514866,0.859708,3.094048,0.562141
2902,Japan,JPN,2008,0.298689,0.687476,0.456972,3.531299,0.867412,3.104944,0.563486
2903,Japan,JPN,2009,0.301931,0.687791,0.458745,3.545616,0.874537,3.116651,0.564908
2904,Japan,JPN,2010,0.303509,0.687961,0.45958,3.552643,0.880012,3.129768,0.56616
2905,Japan,JPN,2011,0.303683,0.68801,0.45997,3.554519,0.884494,3.146267,0.567478
2906,Japan,JPN,2012,0.303467,0.688067,0.45973,3.556756,0.889503,3.168773,0.569262
2907,Japan,JPN,2013,0.302834,0.688129,0.45934,3.559258,0.894621,3.195748,0.571439
2908,Japan,JPN,2014,0.30175,0.688187,0.458556,3.561857,0.900339,3.227353,0.573932
2909,Japan,JPN,2015,0.300201,0.688256,0.457507,3.564487,0.906163,3.262431,0.57671
2910,Japan,JPN,2016,0.298155,0.688317,0.456005,3.566992,0.911801,3.300907,0.579705
2911,Japan,JPN,2017,0.295578,0.688354,0.454379,3.569054,0.918163,3.341565,0.58288
3472,Malaysia,MYS,1990,0.229105,0.557248,0.143967,4.206156,0.599184,3.221567,0.685685
3473,Malaysia,MYS,1991,0.229793,0.557638,0.146549,4.203566,0.603073,3.224416,0.692249
3474,Malaysia,MYS,1992,0.230584,0.558213,0.148567,4.204287,0.608818,3.227375,0.698502
3475,Malaysia,MYS,1993,0.231426,0.558912,0.150885,4.20738,0.613741,3.226866,0.70413
3476,Malaysia,MYS,1994,0.232274,0.559698,0.153033,4.212239,0.617635,3.228043,0.708798
3477,Malaysia,MYS,1995,0.233063,0.560491,0.155561,4.217891,0.62158,3.228262,0.712124
3478,Malaysia,MYS,1996,0.234178,0.561697,0.157979,4.241488,0.625676,3.224859,0.715094
3479,Malaysia,MYS,1997,0.235876,0.563664,0.161533,4.29122,0.630222,3.218262,0.718739
3480,Malaysia,MYS,1998,0.237832,0.566067,0.164445,4.351369,0.635449,3.212175,0.722562
3481,Malaysia,MYS,1999,0.23969,0.568513,0.167011,4.405533,0.640208,3.209483,0.725954
3482,Malaysia,MYS,2000,0.241027,0.570456,0.169604,4.435855,0.644122,3.212443,0.728107
3483,Malaysia,MYS,2001,0.24203,0.571997,0.171433,4.44807,0.646986,3.239027,0.720918
3484,Malaysia,MYS,2002,0.243126,0.573555,0.173065,4.459722,0.650293,3.289095,0.701802
3485,Malaysia,MYS,2003,0.244208,0.575005,0.174713,4.47005,0.652729,3.34399,0.678203
3486,Malaysia,MYS,2004,0.245139,0.576152,0.176638,4.477683,0.654007,3.391976,0.657637
3487,Malaysia,MYS,2005,0.245794,0.576836,0.177808,4.48145,0.656393,3.412226,0.64782
3488,Malaysia,MYS,2006,0.246245,0.57707,0.179558,4.48265,0.656002,3.411037,0.646164
3489,Malaysia,MYS,2007,0.246679,0.577105,0.181507,4.483642,0.653429,3.404257,0.644944
3490,Malaysia,MYS,2008,0.247105,0.577042,0.183555,4.484192,0.651567,3.39477,0.644121
3491,Malaysia,MYS,2009,0.247522,0.57697,0.185006,4.483892,0.649421,3.389505,0.643651
3492,Malaysia,MYS,2010,0.247947,0.576998,0.186795,4.482379,0.649305,3.386558,0.643556
3493,Malaysia,MYS,2011,0.248416,0.577102,0.188448,4.476402,0.651677,3.38919,0.64364
3494,Malaysia,MYS,2012,0.248987,0.577285,0.190473,4.46435,0.654335,3.399075,0.643782
3495,Malaysia,MYS,2013,0.249653,0.577548,0.19244,4.4471,0.657346,3.415474,0.643964
3496,Malaysia,MYS,2014,0.250391,0.577865,0.194833,4.425306,0.660581,3.435105,0.644145
3497,Malaysia,MYS,2015,0.251197,0.578247,0.196888,4.399844,0.664769,3.461155,0.644343
3498,Malaysia,MYS,2016,0.252067,0.578704,0.199211,4.371437,0.669224,3.489505,0.644619
